工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
201,4633257,202405080016,8783455,0.0,170.0,0,514,[],,3,120.0,增白,451100CAK-24W10866,深色,['深色'],,False,纱架,165.75,1,0.0,170.0,,,,
147,4638175,202405220069,8796134,290.0,715.0,0,514,[],,3,120.0,浅浅,042100AJ-24G400312,深色,['深色'],,False,纱架,157.5,2,290.0,715.0,,,,
125,4636208,202405220098,8795828,0.0,350.0,1,515,[],,3,120.0,浅浅,4Q2050CJ-23B10053,深色,['深色'],,True,纱架,157.5,1,0.0,350.0,,,,
193,4638953,202405170160,8794283,470.0,1030.0,1,515,[],,3,120.0,深色,041050CAJ-22B63256,深色,['深色'],,True,纱架,154.5,2,470.0,1030.0,,,,
166,4638862,202405250282,8799924,6.2432194999999995,471.2432195,4,907,[],,6,120.0,中色,451050CK-23G10673,浅色,['浅色'],中色,False,纱架,63.25,1,6.2432194999999995,471.2432195,,,,
163,4638692,202405250059,8799890,591.2432195,1016.2432195,4,907,[],,6,120.0,浅色,9E2100CAJ-24G10112,浅色,['浅色'],中色,True,纱架,59.5,2,591.2432195,1016.2432195,,,,
190,4639234,202404270334,8776263,0.0,125.0,5,908,[],,6,120.0,中色,042100CAKR-24R220026,深色,['深色'],浅浅,False,纱架,69.35,1,0.0,125.0,,,,
180,4639185,202405250251,8800171,0.0,125.0,6,815,[],,10,120.0,浅浅,452120CKR-24R10183,深色,['深色'],,True,纱架,64.0,1,0.0,125.0,,,,
142,4638424,202405260033,8799325,245.0,790.0,6,815,[],,10,120.0,深色,042200AJR-23B83605,深色,['深色'],,False,纱架,63.25,2,245.0,790.0,,,,
165,4638866,202405250282,8799925,910.0,1335.0,6,815,[],,10,120.0,浅浅,451050CK-23B13917,深色,['深色'],,False,纱架,63.25,3,910.0,1335.0,,,,
178,4638686,202405250059,8799885,1455.0,1880.0,6,815,[],,10,120.0,浅浅,9E2100CAJ-24Z10114,深色,['深色'],,True,纱架,61.0,4,1455.0,1880.0,,,,
128,4639037,202404090096,8761141,0.0,125.0,7,509,[],,10,120.0,中色,1E2080CAKR-24H10040,深色,['深色'],浅浅,False,纱架,164.85,1,0.0,125.0,,,,
155,4636984,202405060210,8788319,245.0,605.0,7,509,[],,10,120.0,深色,1E4100CKR-24K10009,深色,['深色'],浅浅,True,纱架,164.85,2,245.0,605.0,,,,
140,4638331,202405250240,8798810,725.0,1190.0,7,509,[],,10,120.0,深色,451050CK-23R10732,深色,['深色'],浅浅,True,纱架,63.25,3,725.0,1190.0,,,,
196,4636985,202405060210,8788320,0.0,330.0,8,603,[],,10,120.0,深色,1E4100CKR-24Z10042,深色,['深色'],深色,True,纱架,164.85,1,0.0,330.0,,,,
212,4639239,202405160201,8791301,450.0,1010.0,8,603,[],,10,120.0,深色,042080CHJ-23B71623,深色,['深色'],深色,True,纱架,72.25,2,450.0,1010.0,,,,
127,4639205,202404090096,8761141,1130.0,1460.0,8,603,[],,10,120.0,中色,1E2080CAKR-24H10040,深色,['深色'],深色,False,纱架,71.35,3,1130.0,1460.0,,,,
143,4639233,202405190012,8794034,0.0,475.0,9,613,[],,10,120.0,浅色,041050HJ-13B90381,浅色,['浅色'],,False,纱架,67.75,1,0.0,475.0,,,,
58,2217097,202405240067,8797578,595.0,980.0,9,613,[],,10,120.0,浅浅,041060CAJ-24Z44066,浅色,['浅色'],,False,S,64.0,2,595.0,980.0,,,,
145,4638330,202405250240,8798808,1100.0,1660.0,9,613,[],,10,120.0,中色,451050CK-23B13890,浅色,['浅色'],,True,纱架,63.25,3,1100.0,1660.0,,,,
25,2216548,202405180134,8793405,0.0,140.0,10,704,[],,10,120.0,增白,041040CHJ-24W401213,增白,['增白'],浅浅,False,S,69.25,1,0.0,140.0,,,,
