工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
140,2213281,202404140038,8764177,485.0,910.0,20,209,[],,40,60.0,中色,041040CAJ-24B40370,浅色,True,S,47.7,1,485.0,910.0,,,,
152,2213293,202404190303,8769529,1030.0,1455.0,20,209,[],,40,60.0,浅色,9E2100CAJ-24B10394,浅色,False,S,47.7,2,1030.0,1455.0,,,,
162,2213292,202404190302,8769526,1515.0,1940.0,20,209,[],,40,60.0,浅色,9E2100CAJ-24B10393,浅色,False,S,47.7,3,1515.0,1940.0,,,,
188,2213271,202404140142,8764042,5875.0,6300.0,20,209,[],,40,60.0,浅色,041040CAJ-24M40004,浅色,False,S,47.7,4,5875.0,6300.0,,,,
98,4625389,202404190081,8768207,6360.0,6785.0,20,209,[],,40,120.0,浅色,451050CAKZ-23R10147,浅色,True,纱架,47.4,5,6360.0,6785.0,,,,
161,2213750,202404190081,8768203,8300.0,8725.0,20,209,[],,40,60.0,浅色,041050CAZ-23R41835,浅色,True,S,47.4,6,8300.0,8725.0,,,,
165,2213814,202404270195,8776389,13630.0,14055.0,20,209,[],,40,60.0,浅色,042100CAJ-15P150659,浅色,False,S,46.5,7,13630.0,14055.0,,,,
77,4628763,202404250324,8774119,16235.0,16660.0,20,209,[],,40,120.0,浅色,041050CAJ-24R42247,浅色,True,纱架,44.7,8,16235.0,16660.0,,,,
40,4626625,202403300042,8749993,16780.0,17205.0,20,209,[],,40,120.0,浅色,961040CJX-24Y10004,浅色,True,纱架,44.4,9,16780.0,17205.0,,,,
71,4628645,202404260132,8774562,17325.0,17750.0,20,209,[],,40,120.0,浅色,041050CAJ-24Y40719,浅色,False,纱架,44.4,10,17325.0,17750.0,,,,
52,4605946,202403220187,8739658,0.0,425.0,21,210,[],,40,120.0,浅浅,041080CAJ-23B220469,浅浅,True,纱架,74.7,1,0.0,425.0,,,,
97,4620237,202404060201,8757092,545.0,970.0,21,210,[],,40,120.0,浅浅,041050CK-24H41166,浅浅,True,纱架,50.7,2,545.0,970.0,,,,
92,4627033,202404200315,8770318,1090.0,1515.0,21,210,[],,40,120.0,浅浅,041020CL-24Z42475,浅浅,True,纱架,48.3,3,1090.0,1515.0,,,,
17,4628452,202404240224,8772715,1635.0,2060.0,21,210,[],,40,120.0,浅浅,041060CAJ-24Z42933,浅浅,False,纱架,47.7,4,1635.0,2060.0,,,,
24,4628765,202404260169,8775348,2180.0,2605.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z43047,浅浅,True,纱架,47.7,5,2180.0,2605.0,,,,
29,4628449,202404250205,8774437,2725.0,3150.0,21,210,[],,40,120.0,浅浅,041060CAJ-24Z43030,浅浅,True,纱架,47.7,6,2725.0,3150.0,,,,
96,4628344,202403270069,8746165,3270.0,3695.0,21,210,[],,40,120.0,浅浅,932040CJX-24H10004,浅浅,True,纱架,47.7,7,3270.0,3695.0,,,,
100,4625182,202403290292,8749515,3815.0,4240.0,21,210,[],,40,120.0,浅浅,041060CHJ-24M400019,浅浅,False,纱架,47.7,8,3815.0,4240.0,,,,
101,4625181,202403290288,8749511,4360.0,4785.0,21,210,[],,40,120.0,浅浅,041060CHJ-24M400021,浅浅,False,纱架,47.7,9,4360.0,4785.0,,,,
149,2212170,202403260111,8750536,4905.0,5330.0,21,210,[],,40,60.0,浅浅,812100CAJX-20P10258,浅浅,False,S,47.7,10,4905.0,5330.0,,,,
156,2213291,202404190302,8769525,5390.0,5815.0,21,210,[],,40,60.0,浅浅,9E2100CAJ-24B10392,浅浅,False,S,47.7,11,5390.0,5815.0,,,,
157,2212759,202403270071,8746479,5875.0,6300.0,21,210,[],,40,60.0,浅浅,5C4100CJR-24Z10147,浅浅,True,L,47.7,12,5875.0,6300.0,,,,
159,2212167,202403260111,8750537,6360.0,6785.0,21,210,[],,40,60.0,浅浅,812100CAJX-20P10259,浅浅,False,S,47.7,13,6360.0,6785.0,,,,
192,2213151,202404180012,8766779,6845.0,7270.0,21,210,[],,40,60.0,浅浅,042080CHJ-15B260516,浅浅,False,S,47.7,14,6845.0,7270.0,,,,
196,2213288,202404190301,8769521,7330.0,7755.0,21,210,[],,40,60.0,浅浅,9E2100CAJ-24P10041,浅浅,False,S,47.7,15,7330.0,7755.0,,,,
